nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-01,90.0,1933-12-06,"trevo emanuel silva, 482",vila tirol,AP
Calebe Santos,651.***.***-46,40.0,1984-03-06,"recanto moraes, 7",ernesto nascimento,PB
Maria Julia Castro,164.***.***-43,,2035-04-12,"residencial de pereira, 20",jatobá,AL
Arthur Da Rosa,085.***.***-30,53.0,1970-04-16,"parque almeida, 66",vila suzana segunda seção,SE
Juan Pereira,520.***.***-21,68.0,1955-10-25,"rodovia de pereira, 51",estrela,BA
Dra. Ana Laura Ribeiro,210.***.***-20,69.0,1954-05-09,esplanada lavínia ramos,são francisco,SP
Maria Clara Araújo,960.***.***-80,41.0,1983-03-14,"praça cavalcanti, 65",conjunto celso machado,RO
Vitória Oliveira,302.***.***-83,31.0,1993-03-10,"esplanada monteiro, 88",conjunto paulo vi,GO
Benjamin Oliveira,451.***.***-84,49.0,1974-05-16,"ladeira monteiro, 57",vila primeiro de maio,CE
Pietro Barros,843.***.***-50,51.0,1972-08-19,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,PB
Samuel Cavalcanti,520.***.***-01,89.0,1934-11-26,"ladeira de porto, 38",nova america,TO
Ian Da Costa,384.***.***-78,23.0,2001-01-21,"via de jesus, 57",vila da amizade,PB
Dr. Emanuel Costa,736.***.***-19,55.0,1969-03-09,"lago castro, 94",mariano de abreu,RJ
Larissa Da Cruz,128.***.***-60,83.0,1940-11-22,"setor isadora da rosa, 583",chácara leonina,RR
Diogo Carvalho,078.***.***-97,83.0,1941-03-10,"viaduto pedro lucas cavalcanti, 49",tiradentes,RS
Sr. Anthony Almeida,305.***.***-60,37.0,1987-02-03,"rua vitor hugo pinto, 21",anchieta,RJ
Clara Martins,397.***.***-86,77.0,1947-03-14,"rodovia aragão, 245",conjunto lagoa,MG
Dr. Luiz Felipe Cardoso,374.***.***-20,69.0,1954-07-20,"alameda de lima, 65",boa esperança,PE
Sr. Calebe Lopes,135.***.***-77,62.0,1961-10-19,"trecho lucas sales, 24",dom bosco,RO
Miguel Monteiro,097.***.***-41,54.0,1969-06-27,"passarela igor novaes, 89",pompéia,SE
Srta. Catarina Da Mata,468.***.***-57,81.0,1942-07-05,"sítio luna carvalho, 98",novo santa cecilia,AM
João Gabriel Araújo,625.***.***-25,73.0,1950-09-13,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,MT
Sr. Nicolas Azevedo,036.***.***-33,35.0,1989-01-18,"estrada de aragão, 1",vila barragem santa lúcia,AC
Kamilly Caldeira,508.***.***-47,45.0,1979-07-04,via gabriela nascimento,madre gertrudes,AP
Renan Araújo,186.***.***-57,79.0,1945-03-06,"travessa vinicius da mata, 52",alta tensão 1ª seção,CE
Vicente Nascimento,054.***.***-32,63.0,1961-02-22,largo vieira,milionario,DF
Isaac Rocha,873.***.***-69,57.0,1966-11-30,"área lucas gabriel silveira, 51",anchieta,PE
Julia Das Neves,819.***.***-05,60.0,1963-08-28,"jardim isabelly gomes, 23",nossa senhora de fátima,ES
Breno Rodrigues,196.***.***-34,95.0,1928-10-24,distrito de silveira,dona clara,AM
Isabel Nogueira,968.***.***-65,63.0,1960-10-21,travessa ana júlia da rocha,miramar,TO
Anthony Araújo,208.***.***-26,38.0,1985-09-07,"avenida milena pires, 360",vila rica,AP
Sra. Marina Da Cunha,067.***.***-95,55.0,1968-09-09,"rodovia marcelo souza, 25",estrela,RN
Helena Cardoso,853.***.***-39,51.0,1972-05-29,"pátio alexandre teixeira, 243",indaiá,RR
Luigi Nunes,593.***.***-24,50.0,1973-06-17,"via clara da rosa, 928",castelo,RR
